Departure,Destination,Departure_IATA,Destination_IATA
Austin,"Asheville, NC",AUS,AVL
Austin,"Cincinnati, OH",AUS,CVG
Austin,"Des Moines, IA",AUS,DSM
Austin,"Grand Rapids, MI",AUS,GRR
Austin,"Indianapolis, IN",AUS,IND
Austin,"Knoxville, TN",AUS,TYS
Austin,"Las Vegas, NV",AUS,LAS
Austin,"Pittsburgh, PA",AUS,PIT
Austin,"Provo, UT",AUS,PVU
Austin,"Sanford / Orlando, FL",AUS,SFB
Austin,"Sarasota / Bradenton, FL",AUS,SRQ
Austin,Washington D.C. / Dulles,AUS,IAD
Boston,"Asheville, NC",BOS,AVL
Boston,"Des Moines, IA",BOS,DSM
Boston,"Destin / Fort Walton Beach, FL",BOS,VPS
Boston,"Grand Rapids, MI",BOS,GRR
Boston,"Indianapolis, IN",BOS,IND
Boston,"Knoxville, TN",BOS,TYS
Boston,"Norfolk, VA",BOS,ORF
Boston,"Sarasota / Bradenton, FL",BOS,SRQ
Boston,"Savannah, GA / Hilton Head, SC",BOS,SAV
Charleston,"Cincinnati, OH",CHS,CVG
Charleston,"Columbus (Rickenbacker), OH",CHS,LCK
Charleston,"Indianapolis, IN",CHS,IND
Charleston,"Louisville, KY",CHS,SDF
Chicago (Midway),"Asheville, NC",MDW,AVL
Chicago (Midway),"Destin / Fort Walton Beach, FL",MDW,VPS
Chicago (Midway),"Fort Myers / Punta Gorda, FL",MDW,PGD
Chicago (Midway),"Knoxville, TN",MDW,TYS
Chicago (Midway),"Provo, UT",MDW,PVU
Chicago (Midway),"Savannah, GA / Hilton Head, SC",MDW,SAV
"Denver, CO","Allentown (Lehigh Valley), PA",DEN,ABE
"Denver, CO","Appleton / Green Bay, WI",DEN,ATW
"Denver, CO","Asheville, NC",DEN,AVL
"Denver, CO","Cincinnati, OH",DEN,CVG
"Denver, CO","Idaho Falls, ID",DEN,IDA
"Denver, CO","Knoxville, TN",DEN,TYS
"Denver, CO","Peoria, IL",DEN,PIA
"Denver, CO","Stockton, CA",DEN,SCK
Destin/Fort Walton,"Akron-Canton, OH",VPS,CAK
