,city1,city2,airport_1,airport_2,distance,state1,state2,population1,population2,density1,density2,lat1,lng1,lat2,lng2
0,Allentown,Tampa,ABE,PIE,970,PA,FL,204.0,131.0,17.2,99.4,40.602753,-75.469759,37.8606,-78.804199
1,Allentown,Tampa,ABE,TPA,970,PA,FL,204.0,131.0,17.2,99.4,40.602753,-75.469759,37.8606,-78.804199
2,Albuquerque,Dallas,ABQ,DAL,580,NM,TX,769986.0,103.0,1159.8,78.5,35.084248,-106.649241,40.11086,-77.035636
3,Albuquerque,Dallas,ABQ,DFW,580,NM,TX,769986.0,103.0,1159.8,78.5,35.084248,-106.649241,40.11086,-77.035636
4,Albuquerque,Phoenix,ABQ,PHX,328,NM,AZ,769986.0,1278.0,1159.8,1064.3,35.084248,-106.649241,30.406931,-87.217578
5,Albuquerque,Boston,ABQ,BOS,1974,NM,MA,769986.0,215.0,1159.8,42.3,35.084248,-106.649241,42.358894,-71.056742
6,Albuquerque,Boston,ABQ,MHT,1974,NM,MA,769986.0,215.0,1159.8,42.3,35.084248,-106.649241,42.358894,-71.056742
7,Albuquerque,Boston,ABQ,PVD,1974,NM,MA,769986.0,215.0,1159.8,42.3,35.084248,-106.649241,42.358894,-71.056742
8,Albuquerque,Washington,ABQ,BWI,1670,NM,DC,769986.0,54.0,1159.8,153.4,35.084248,-106.649241,38.892062,-77.019912
9,Albuquerque,Washington,ABQ,DCA,1670,NM,DC,769986.0,54.0,1159.8,153.4,35.084248,-106.649241,38.892062,-77.019912
10,Albuquerque,Washington,ABQ,IAD,1670,NM,DC,769986.0,54.0,1159.8,153.4,35.084248,-106.649241,38.892062,-77.019912
11,Albuquerque,Chicago,ABQ,MDW,1121,NM,IL,769986.0,8497759.0,1159.8,4614.5,35.084248,-106.649241,41.775002,-87.696388
12,Albuquerque,Chicago,ABQ,ORD,1121,NM,IL,769986.0,8497759.0,1159.8,4614.5,35.084248,-106.649241,41.775002,-87.696388
13,Albuquerque,Houston,ABQ,HOU,759,NM,TX,769986.0,233.0,1159.8,88.9,35.084248,-106.649241,29.760803,-95.369506
14,Albuquerque,Houston,ABQ,IAH,759,NM,TX,769986.0,233.0,1159.8,88.9,35.084248,-106.649241,29.760803,-95.369506
15,Albuquerque,New York City,ABQ,EWR,1861,NM,NY,769986.0,18908608.0,1159.8,11080.3,35.084248,-106.649241,40.123164,-75.333718
16,Albuquerque,New York City,ABQ,HPN,1861,NM,NY,769986.0,18908608.0,1159.8,11080.3,35.084248,-106.649241,40.123164,-75.333718
17,Albuquerque,New York City,ABQ,ISP,1861,NM,NY,769986.0,18908608.0,1159.8,11080.3,35.084248,-106.649241,40.123164,-75.333718
18,Albuquerque,New York City,ABQ,JFK,1861,NM,NY,769986.0,18908608.0,1159.8,11080.3,35.084248,-106.649241,40.123164,-75.333718
19,Albuquerque,New York City,ABQ,LGA,1861,NM,NY,769986.0,18908608.0,1159.8,11080.3,35.084248,-106.649241,40.123164,-75.333718
20,Albuquerque,New York City,ABQ,SWF,1861,NM,NY,769986.0,18908608.0,1159.8,11080.3,35.084248,-106.649241,40.123164,-75.333718
21,Albuquerque,San Francisco,ABQ,OAK,896,NM,CA,769986.0,3364979.0,1159.8,7030.7,35.084248,-106.649241,37.78008,-122.420168
22,Albuquerque,San Francisco,ABQ,SFO,896,NM,CA,769986.0,3364979.0,1159.8,7030.7,35.084248,-106.649241,37.78008,-122.420168
23,Albuquerque,San Francisco,ABQ,SJC,896,NM,CA,769986.0,3364979.0,1159.8,7030.7,35.084248,-106.649241,37.78008,-122.420168
24,Albuquerque,Los Angeles,ABQ,BUR,677,NM,CA,769986.0,430.0,1159.8,450.8,35.084248,-106.649241,34.052238,-118.243344
25,Albuquerque,Los Angeles,ABQ,LAX,677,NM,CA,769986.0,430.0,1159.8,450.8,35.084248,-106.649241,34.052238,-118.243344
26,Albuquerque,Los Angeles,ABQ,LGB,677,NM,CA,769986.0,430.0,1159.8,450.8,35.084248,-106.649241,34.052238,-118.243344
27,Albuquerque,Los Angeles,ABQ,ONT,677,NM,CA,769986.0,430.0,1159.8,450.8,35.084248,-106.649241,34.052238,-118.243344
